round_epochs,val_loss,val_accuracy,loss,accuracy,dropout,final_activation,loss_function,lr,num_Nodes,regularizer
456,0.14409814774990082,0.37140804529190063,0.14033693075180054,0.40601707,1,softmax,mean_squared_error,0.13,9,None
202,0.15248118340969086,0.2693965435028076,0.1516854614019394,0.2750786,1,softmax,mean_squared_error,0.13,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
351,0.14470405876636505,0.36817529797554016,0.14098460972309113,0.3984733,1,softmax,mean_squared_error,0.13,12,None
201,0.15248973667621613,0.2693965435028076,0.15168796479701996,0.27355185,1,softmax,mean_squared_error,0.13,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
313,0.144782155752182,0.3642241358757019,0.14060477912425995,0.40296364,1,softmax,mean_squared_error,0.13,15,None
201,0.15248113870620728,0.2693965435028076,0.15168552100658417,0.2750786,1,softmax,mean_squared_error,0.13,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
521,0.14470961689949036,0.3732040226459503,0.14106355607509613,0.3949708,1,softmax,mean_squared_error,0.13,18,None
202,0.15248112380504608,0.2693965435028076,0.1516854614019394,0.2750786,1,softmax,mean_squared_error,0.13,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
278,0.14473262429237366,0.3735632300376892,0.14007240533828735,0.40790302,1,softmax,mean_squared_error,0.13,21,None
203,0.1524810642004013,0.2693965435028076,0.15168547630310059,0.2750786,1,softmax,mean_squared_error,0.13,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
1233,1.4142221212387085,0.34985631704330444,1.3719004392623901,0.38383475,1,softmax,categorical_crossentropy,0.005,9,None
205,1.4850940704345703,0.2693965435028076,1.4688618183135986,0.2750786,1,softmax,categorical_crossentropy,0.005,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
1575,1.3892877101898193,0.3660201132297516,1.3399386405944824,0.40458015,1,softmax,categorical_crossentropy,0.005,12,None
229,1.4844441413879395,0.2693965435028076,1.4679831266403198,0.2750786,1,softmax,categorical_crossentropy,0.005,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
1274,1.3901333808898926,0.36889368295669556,1.3377224206924438,0.40978897,1,softmax,categorical_crossentropy,0.005,15,None
203,1.4842125177383423,0.2693965435028076,1.4676246643066406,0.2750786,1,softmax,categorical_crossentropy,0.005,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
1161,1.3982465267181396,0.35668104887008667,1.34116792678833,0.4079928,1,softmax,categorical_crossentropy,0.005,18,None
